Fecha_Hora,ton_total,n_descargas,n_cam,n_shov,ton_chancador,ton_botadero,descargas_botadero,ton_chancador_1,ton_chancador_2,cam_chancador,cam_botadero,ton_alta_ley,ton_media_ley,ton_baja_ley,ton_lastre,n_perfo,n_eq_apoyo,n_aljibe
2020-01-02 21:00:00,12127.4842,62.0,43.0,7.0,5244.7421,6882.7421,37.0,2433.0,2811.7421,20.0,26.0,1742.0,4078.4842,0.0,6307.0,,,
2020-01-02 22:00:00,20612.0,66.0,45.0,5.0,9457.0,11155.0,36.0,5088.0,4369.0,27.0,21.0,1480.0,9149.0,0.0,9983.0,,,
2020-01-02 23:00:00,21045.7421,69.0,43.0,5.0,8939.0,12106.7421,40.0,5586.0,3353.0,24.0,25.0,0.0,10391.7421,0.0,10654.0,,,
2020-01-03 00:00:00,14243.0,45.0,29.0,6.0,6322.0,7921.0,25.0,3458.0,2864.0,12.0,18.0,0.0,7246.0,0.0,6997.0,,,
2020-01-03 01:00:00,19484.7421,63.0,42.0,7.0,7450.0,12034.7421,40.0,3675.0,3775.0,16.0,31.0,0.0,8326.0,0.0,11158.7421,,,
2020-01-03 02:00:00,21701.2263,70.0,43.0,7.0,10465.4842,11235.7421,36.0,4813.7421,5651.7421,22.0,24.0,0.0,11043.4842,0.0,10657.7421,,,
2020-01-03 03:00:00,23475.7421,75.0,44.0,7.0,11426.7421,12049.0,39.0,5573.0,5853.7421,20.0,28.0,0.0,11426.7421,0.0,12049.0,,,
2020-01-03 04:00:00,12954.0,42.0,30.0,5.0,10193.0,2761.0,9.0,4620.0,5573.0,23.0,8.0,0.0,10193.0,0.0,2761.0,,,
2020-01-03 05:00:00,12468.0,41.0,32.0,7.0,9277.0,3191.0,11.0,4603.0,4674.0,23.0,9.0,0.0,9277.0,0.0,3191.0,,,
2020-01-03 06:00:00,21134.7421,68.0,47.0,7.0,11149.0,9985.7421,32.0,5356.0,5793.0,25.0,23.0,0.0,11815.0,0.0,9319.7421,,,
2020-01-03 07:00:00,18148.7421,61.0,47.0,7.0,5676.7421,12472.0,42.0,3604.7421,2072.0,16.0,33.0,0.0,7474.7421,0.0,10674.0,,,
2020-01-03 08:00:00,15912.7421,54.0,44.0,6.0,6034.7421,9878.0,34.0,1792.7421,4242.0,16.0,29.0,0.0,7203.7421,0.0,8709.0,,,
2020-01-03 09:00:00,14379.0,68.0,47.0,6.0,7561.0,6818.0,33.0,2679.0,4882.0,26.0,23.0,0.0,7561.0,0.0,6818.0,,,
2020-01-03 10:00:00,23852.0,78.0,48.0,7.0,10604.0,13248.0,45.0,4425.0,6179.0,22.0,29.0,0.0,11211.0,0.0,12641.0,,,
2020-01-03 11:00:00,24527.0,77.0,49.0,7.0,12230.0,12297.0,41.0,5196.0,7034.0,28.0,29.0,0.0,15006.0,0.0,9521.0,,,
2020-01-03 12:00:00,23835.2263,79.0,49.0,7.0,9423.0,14412.2263,48.0,4509.0,4914.0,27.0,33.0,0.0,12709.4842,0.0,11125.7421,,,
2020-01-03 13:00:00,24191.4842,82.0,49.0,7.0,11191.7421,12999.7421,44.0,5676.7421,5515.0,28.0,32.0,0.0,13500.4842,0.0,10691.0,,,
2020-01-03 14:00:00,11369.7421,38.0,31.0,7.0,4315.7421,7054.0,24.0,1495.0,2820.7421,13.0,21.0,0.0,4937.7421,0.0,6432.0,,,
2020-01-03 15:00:00,8165.7421,27.0,26.0,5.0,4274.7421,3891.0,13.0,2691.7421,1583.0,14.0,12.0,0.0,4274.7421,0.0,3891.0,,,
2020-01-03 16:00:00,16695.4842,55.0,29.0,5.0,8411.0,8284.4842,27.0,4508.0,3903.0,19.0,12.0,0.0,10813.7421,0.0,5881.7421,,,
2020-01-03 17:00:00,19117.4842,64.0,47.0,5.0,6528.0,12589.4842,42.0,4722.0,1806.0,17.0,33.0,0.0,7923.0,0.0,11194.4842,,,
2020-01-03 18:00:00,19873.4842,65.0,47.0,7.0,10641.7421,9231.7421,31.0,5434.7421,5207.0,28.0,22.0,0.0,11260.7421,0.0,8612.7421,,,
2020-01-03 19:00:00,24709.2263,80.0,51.0,7.0,9658.4842,15050.7421,49.0,6032.4842,3626.0,21.0,39.0,0.0,13057.2263,0.0,11652.0,,,
2020-01-03 20:00:00,16098.0,53.0,46.0,7.0,7783.0,8315.0,27.0,4148.0,3635.0,20.0,26.0,0.0,8100.0,0.0,7998.0,,,
2020-01-03 21:00:00,13781.0,62.0,35.0,6.0,6526.0,7255.0,36.0,2769.0,3757.0,18.0,21.0,0.0,7119.0,0.0,6662.0,,,
2020-01-03 22:00:00,22682.7421,74.0,48.0,6.0,8007.7421,14675.0,48.0,4318.0,3689.7421,18.0,32.0,0.0,8334.7421,0.0,14348.0,,,
2020-01-03 23:00:00,21931.0,72.0,48.0,6.0,8633.0,13298.0,44.0,4367.0,4266.0,19.0,32.0,0.0,9549.0,0.0,12382.0,,,
2020-01-04 00:00:00,15373.0,50.0,44.0,6.0,5454.0,9919.0,32.0,596.0,4858.0,16.0,30.0,0.0,8208.0,0.0,7165.0,,,
